,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
7286,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be respectful.,[immoral_consequence] The other people in the front of the house are upset and resent me for being rude.,It's okay to be upset when someone is saying something wrong.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,"[immoral_consequence] The patient's heart is shattered and shattered, and he feels like he's being a jerk.",It's okay to feel uncomfortable when you're feeling like a doctor.
7287,.,.,[immoral_consequence] The sun screamed and screamed at him for a while.,It's good to look out for your eyes.,.,.,[immoral_consequence] The satan was spotted by the police and arrested.,It's good to look for satan.
7288,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The number is a bit sluggish and doesn't stop calling me.,It's good to be careful when blocking someone's phone.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I am so upset that someone is calling me.,It's good to be happy when someone blocks you.
7289,I (myself)'s emotion is sad.,I (myself)'s motivation is to be loved.,[immoral_consequence] I was able to get into a fight with my friend and get a ticket.,It's wrong to be drunk on your birthday.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be loved.,[immoral_consequence] My friend is very upset and feels like he is being so rude.,It's wrong to be drunk on your birthday.
7290,I (myself)'s emotion is scared.,.,[immoral_consequence] The lion is a bit scared and scared.,It's good to be scared when you see a lion.,I (myself)'s emotion is scared.,.,[immoral_consequence] The lion was spotted by the police and arrested.,It's understandable to be scared when you see a lion.
7291,.,.,[immoral_consequence] The police are called and arrest the police.,It's good to be prepared for the times.,.,.,[immoral_consequence] The people who are a silver bullet are unable to see the difference between them.,It's good to be proud of your achievements.
7292,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to see the argument in a good manner.,It's good to demonstrate your arguments.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was arrested for trespassing.,It's good to be honest with people.
7293,My kids' emotion is sad.,My kids' motivation is to be safe.,[immoral_consequence] My kids are upset and don't want to go home again.,It's good to be quiet when your kids aren't there.,I (myself)'s emotion is happy.,My kids' motivation is to be safe.,[immoral_consequence] The kids were unable to sleep and the kids were unable to sleep.,It's good to be quiet.
7294,I (myself)'s emotion is scared.,I (myself)'s motivation is to have fun.,[immoral_consequence] I'm shaky and shaky and shaky.,It's good to have fun.,I (myself)'s emotion is calm.,I (myself)'s motivation is to be calm.,[moral_consequence] I am able to relax and feel better after the ride.,It's good to be calm.
7295,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The person in the crosswalk is hurt and resents me.,It's wrong to hit someone in a crosswalk.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was arrested for a traffic accident and is arrested.,It's good to be careful when driving.
7296,Lestat's emotion is disappointed.,Lestat's motivation is to be a good teacher.,"[immoral_consequence] Lestat's children were unable to compete in the competition, and they were unable to compete in the competition.",It's good to be a good parent.,Lestat's emotion is happy.,Lestat's motivation is to be helpful.,[immoral_consequence] Lestat's children were unable to get to the gauntlet and were unable to get to the hospital.,It's good to throw down a gauntlet.
7297,Kade's emotion is disappointed.,Kade's motivation is to be a good quarterback.,[immoral_consequence] Kade was unable to compete for the game and was unable to compete for the game.,It's good to be proud of your accomplishments.,Kade's emotion is proud.,Kade's motivation is to be a good quarterback.,[immoral_consequence] Kade was unable to get a job and was unable to get a job.,It's good to be a star quarterback.
7298,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good brother.,[immoral_consequence] I feel like I'm not like my brother.,It's good to want to be tall.,Brother's emotion is sad.,Brother's motivation is to be a good person.,[immoral_consequence] My brother is hurt and hurt.,It's wrong to be jealous of your sibling.
7299,.,.,[immoral_consequence] The person who is insulted is unable to speak to them.,It's good to use words that are harmless.,.,.,[immoral_consequence] The people in the world are unable to speak to each other.,It's good to use words to communicate with others.
7300,.,.,[moral_consequence] The woman was happy to see her and nate was happy.,It's good to be honest with your partner.,.,.,[moral_consequence] The hotel owner was happy to have a good time.,It's good to make light work of scouring the hotel for someone.
7301,I (myself)'s emotion is happy.,I (myself)'s motivation is to be healthy.,"[immoral_consequence] The heat spreads across my body, and it causes a serious injury.",It's good to be warm.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My body deteriorates and is unable to live with the heat.,It's good to be warm and warm.
7302,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My sister is hurt and resents me.,It's wrong to break a statuettte.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I feel sad that my grandmother broke the statuettte.,It's wrong to break a statuettte.
7303,I (myself)'s emotion is happy.,.,[moral_consequence] The person who is kind to us is happy to be able to help.,It's good to be kind to people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be appreciated.,[moral_consequence] The people around us are able to appreciate the kindness they showed.,It's good to be grateful for kindness.
7304,I (myself)'s emotion is happy.,I (myself)'s motivation is to be respectful.,[immoral_consequence] Dub screamed and yelled at me.,It's good to smile at people.,I (myself)'s emotion is happy.,Dub's motivation is to be respectful.,"[immoral_consequence] I was embarrassed when the dub looked at me and laughed, and he reacted badly.",It's good to smile when someone looks at you.
7305,.,.,[immoral_consequence] The sun is a bit shattered by the sun.,It's good to have a new moon.,.,.,[immoral_consequence] The moon is shattered by the sun and the sun is shattered.,It's good to have a new moon.
7306,Sarah's emotion is sad.,Sarah's motivation is to be helpful.,[immoral_consequence] Sarah's wife is upset and doesn't care about her.,It's good to be honest with your partner.,Sarah's emotion is angry.,Sarah's motivation is to be respectful.,[immoral_consequence] Sarah's wife is angry at Sarah for crying out loud.,It's okay to cry out loud.
7307,I (myself)'s emotion is happy.,I (myself)'s motivation is to see what was going on.,[immoral_consequence] I see the mist and feel a little bit irritated.,It's good to be aware of your surroundings.,I (myself)'s emotion is happy.,I (myself)'s motivation is to see what was going on.,[immoral_consequence] I see the light in the mist and screams at the other people.,It's good to be aware of your surroundings.
7308,The former thief's emotion is happy.,The former thief's motivation is to be a good person.,[moral_consequence] The former thief is able to find a new person who is skilled in the area.,It's good to be a thief.,The former thief's emotion is happy.,The former thief's motivation is to be a good man.,[immoral_consequence] The former thief is arrested for theft and is arrested.,It's good to be a thief.
7309,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My wife drank a lot of alcohol and drank it.,It's good to give sobriety to your partner.,Wife's emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My wife scolded me for drinking and causing her to drink.,It's wrong to drink alcohol.
